id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,opening_days,closing_days,stats,tags,description
9201203,2863425786,Albert-Kahn,,Rue du Port,92100,Boulogne-Billancourt,France,fr,open,48.8416327,2.2276788,http://albert-kahn.hauts-de-seine.fr/,0155192803,0146038659,Ouvert du mardi au dimanche de 11h à 17h d'octobre à avril et de 11h à 18h de mai à septembre,"1er janvier, 25 décembre",label-date:01/02/2003,label:musee de france;type:a classer,
3155507,1532673247,Musée des Transports et des Communications,93,Avenue Jules Julien,31400,Toulouse,France,fr,open,43.57702,1.4505826,http://asptuit.fr/ee.fr/,0561550210,0561550210,Ouvert les jeudis de 10h à 12h et de 14h à 16h et sur rendez-vous,,label-date:01/02/2003,label:musee de france;type:musee,
0240802,2690271355,Musée d'Art et d'Archéologie,27,Rue Georges Ermant,02000,Laon,France,fr,open,49.563257,3.6266548,http://ca-paysdelaon.fr/musee.html,0323228700,0323228705,Ouvert du mardi au dimanche 1er juin au 30 septembre de 10h à 17h et du 1er octobre au 31 mai de 13h à 17h et le matin sur rendez-vous,"1er janvier, 1er mai, 14 juillet, 24,25 et 31 décembre",label-date:01/02/2003,label:musee de france;type:musee,
2614601,133910375,Château de Grignan,,Rue Montant au Château,26230,Grignan,France,fr,open,44.418758600000004,4.908919569000301,http://chateaux.ladrome.fr/,0475918357,0475918362,Ouvert tous les jours de 9h30 à 12h et de 14h à 18h et en juillet-août de 10h à 18h,"1er janvier, 25 décembre",label-date:01/02/2003,label:musee de france;type:a classer,
3600601,2416267792,Musée de la Chemiserie et de l'Elégance Masculine,,Rue Charles Brillaud,36200,Argenton-sur-Creuse,France,fr,open,46.5884724,1.5182182,http://chemiserie.cc-argenton.fr/,0254243469,0254244192,"Ouvert du 15 février au 30 juin et du 1er septembre au 23 décembre du mardi au dimanche de 9h30 à 12h et de 14h à 18h, juillet-août lundi de 14h à 18h30 et du mardi au dimanche de 10h à 12h30 et de 14h à 18h30","24 au 31 décembre, Janvier, du 1er au 14 février",label-date:01/02/2003,label:musee de france;type:musee,
1411803,,Musée d'Initiation à la Nature,,Enceinte de l'hôtel de ville,14027,CAEN,France,fr,open,,,http://cpievdo.fr/cpie-presentation-environnement/musee-d-initiation-a-la-nature,0231304327,0231304344,"Ouvert des vacances de Pâques à celles de la Toussaint : du lundi au vendredi de 14h à 18h, tous les mercredis de l'année et pendant les vacances scolaires",,label-date:01/02/2003,label:musee de france;type:musee,
1927201,64242494,Musée du Cloître de Tulle André Mazeyrie,,Place Monseigneur Berteaud,19000,Tulle,France,fr,open,45.267961650000004,1.7711923564657082,http://culture.ville-tulle.fr/culture/musees-et-archives/musee-du-cloitre,0555269105,0555262423,"Ouvert du mardi au samedi, les 1er et 3ème dimanche du mois du 1er mai au 31 octobre de 10h à 13h et de 14h à 18h30 et du 1er novembre au 30 avril de 13h à 18h",,label-date:01/02/2003,label:musee de france;type:musee,
9207101,3784897182,Musée du Domaine Départemental de Sceaux,,Allée du Bassin de l'Église,92330,Sceaux,France,fr,open,48.7751632,2.2987666,http://domaine-de-sceaux.hauts-de-seine.fr/,0141872950,0141872951,"Ouvert du mardi au dimanche du 1er novembre au 28 février de 13h à 17h, et du 1er mars au 31 octobre de 14h à 18h30","1er au 15 janvier, 1er mai, 25 décembre",label-date:01/02/2003,label:musee de france;type:musee,
5606901,175791621,Ecomusée de l'Île de Groix,,Rue Francis Stéphant,56590,Groix,France,fr,open,47.6397756005466,-3.444878551643307,http://ecomusee.groix.fr/ee.fr/,0297868460,0297865651,"Ouvert de mai à septembre tous les jours de 9h45 à 12h30 et de 14h à 18h, d'octobre à novembre et avril du mardi au dimanche de 9h45 à 12h et de 14h à 17h, de décembre à mars le mercredi, samedi et dimanche (sauf vacances scolaires du mercredi au dimanch",Jours fériés,label-date:01/02/2003,label:musee de france;type:ecomusee,
5905301,454352993,Forum Antique de Bavay,,Chaussée du Bois,59570,Hon-Hergies,France,fr,open,50.310089842120654,3.806635259502962,http://forumantique.lenord.fr/,0359731550,0359731551,Ouvert tous les jours de 9h à 12h et de 13h à 18h,"1er janvier, 1er mai, 1er et 11 novembre, 25 décembre - Fermetures annuelles la 1ère quinzaine de septembre et la 2ème quinzaine de janvier",label-date:01/02/2003,label:musee de france;type:musee archeologique;art:antiquite,
